url,img,name,img_ratio
https://www.uni-hannover.de/en/,luh.svg,,60/20
https://www.wu.ac.at/,wu.png,,60/30
https://infai.org/,infai.png,Institute for Applied Informatics,75/20
https://kmi.open.ac.uk/,kmi.png,,50/25
https://www.iais.fraunhofer.de/,iais.svg,,60/20
https://www.unimib.it/,Milano.svg,,30/30
https://www.dbpedia.org/,DBpedia.png,DBpedia,50
https://www.usc.gal/,usc.svg,,43/30
https://graphwise.ai/,graphwise.svg,,65/16
https://www.unibo.it/en,unibo.png,,40/28
https://www.fhstp.ac.at/,FH.svg,,20/20
https://www.fit.fraunhofer.de/,fit.svg,,60/20
https://www.tum.de/en/,tum.svg,,57/16
https://orkg.org/,orkg.svg,,57/30
https://www.gfwm.de/,gfwm.png,,40/20
https://www.wolterskluwer.com/en,medium.svg,,60/10
https://www.soprasteria.com/,Sopra_Steria.svg,SopraSteria,60/20
https://scads.ai/,ScaDSAI.svg,,42/16
https://www.tcd.ie/,Trinity_College_Dublin.svg,TCD,70/30
https://www.tib.eu/en/,tib.svg,TIB,70/12
https://www.upm.es/,upm.svg,,30/30
https://www.bilateral-ai.net/home,BilAI.png,Bil AI,50